Life expectancy by country at birth (years) - WHO 2019 data published in 2020,,,
,,,
state,male,female,bothSexes
Afghanistan,63.3,63.2,63.2
Albania,76.3,79.9,78
Algeria,76.2,78.1,77.1
Angola,60.7,65.5,63.1
Antigua and Barbuda,74.9,78,76.5
Argentina,73.5,79.5,76.6
Armenia,72.5,79.2,76
Australia,81.3,84.8,83
Austria,79.4,83.8,81.6
Azerbaijan,68.8,74.1,71.4
Bahamas,69.9,76.6,73.2
Bahrain,75,77,75.8
Bangladesh,73,75.6,74.3
Barbados,74.3,77.7,76
Belarus,69.7,79.6,74.8
Belgium,79.3,83.5,81.4
Belize,71.4,77.8,74.4
Benin,61.2,65.7,63.4
Bhutan,72,74.4,73.1
Bolivia (Plurinational State of),71.1,73.1,72.1
Bosnia and Herzegovina,74.4,79.1,76.8
Botswana,58.9,65.5,62.2
Brazil,72.4,79.4,75.9
Brunei Darussalam,73.4,75.4,74.3
Bulgaria,71.6,78.6,75.1
Burkina Faso,60.1,65.2,62.7
Burundi,61.5,66.1,63.8
Cabo Verde,69.9,77.9,74
Cambodia,67.2,72.7,70.1
Cameroon,60.3,64.5,62.4
Canada,80.4,84.1,82.2
Central African Republic,50.2,56.3,53.1
Chad,58,61.3,59.6
Chile,78.1,83.2,80.7
China,74.7,80.5,77.4
Colombia,76.7,81.9,79.3
Comoros,65.9,68.9,67.4
Congo,63.8,65.6,64.7
Costa Rica,78.3,83.4,80.8
C̫te d'Ivoire,60.5,65.8,62.9
Croatia,75.5,81.6,78.6
Cuba,75.4,80.3,77.8
Cyprus,81.1,85.1,83.1
Czechia,76.3,81.9,79.1
Democratic People's Republic of Korea,69.3,75.7,72.6
Democratic Republic of the Congo,60,64.8,62.4
Denmark,79.6,83,81.3
Djibouti,64.1,67.8,65.8
Dominican Republic,69.8,76.2,72.8
Ecuador,76.4,80.5,78.4
Egypt,69.6,74.1,71.8
El Salvador,70.6,79.1,75
Equatorial Guinea,60.9,63.6,62.2
Eritrea,61.3,67.1,64.1
Estonia,74.7,82.6,78.9
Eswatini,53.4,63.2,57.7
Ethiopia,66.9,70.5,68.7
Fiji,65.9,70.3,68
Finland,79.2,84,81.6
France,79.8,85.1,82.5
Gabon,63.6,69.7,66.5
Gambia,63.4,67.7,65.5
Georgia,68.8,77.8,73.3
Germany,78.7,84.8,81.7
Ghana,63.7,69.2,66.3
Greece,78.6,83.6,81.1
Grenada,70.6,75.3,72.9
Guatemala,69,75,72
Guinea,59.5,62.3,61
Guinea-Bissau,57.4,63,60.2
Guyana,62.5,69.4,65.7
Haiti,63.3,64.8,64.1
Honduras,70.7,73.2,71.9
Hungary,73.1,79.6,76.4
Iceland,80.8,83.9,82.3
India,69.5,72.2,70.8
Indonesia,69.4,73.3,71.3
Iran (Islamic Republic of),75.7,79.1,77.3
Iraq,69.9,75,72.4
Ireland,80.2,83.5,81.8
Israel,80.8,84.4,82.6
Italy,80.9,84.9,83
Jamaica,74.4,77.7,76
Japan,81.5,86.9,84.3
Jordan,77,78.8,77.9
Kazakhstan,70,77.6,74
Kenya,63.7,68.4,66.1
Kiribati,56.1,62.8,59.4
Kuwait,79.3,83.9,81
Kyrgyzstan,70.7,77.3,74.2
Lao People's Democratic Republic,66.2,70.9,68.5
Latvia,70.6,79.8,75.4
Lebanon,74,79.2,76.4
Lesotho,47.7,54.2,50.7
Liberia,63.2,65,64.1
Libya,74.2,77.3,75.8
Lithuania,71.2,80.4,76
Luxembourg,80.6,84.2,82.4
Madagascar,64.1,66.6,65.3
Malawi,62.3,68.9,65.6
Malaysia,72.6,77.1,74.7
Maldives,78.6,80.8,79.6
Mali,62.2,63.4,62.8
Malta,79.9,83.8,81.9
Mauritania,68.1,68.7,68.4
Mauritius,71,77.3,74.1
Mexico,73.1,78.9,76
Micronesia (Federated States of),60.3,66,63
Mongolia,63.8,72.8,68.1
Montenegro,73.2,78.7,75.9
Morocco,71.7,74.3,73
Mozambique,54.5,61.7,58.1
Myanmar,65.9,72.2,69.1
Namibia,60.6,68.4,64.6
Nepal,68.9,72.7,70.9
Netherlands,80.4,83.1,81.8
New Zealand,80.4,83.5,82
Nicaragua,72.1,77.9,75
Niger,62.1,64.6,63.3
Nigeria,61.2,64.1,62.6
Norway,81.1,84.1,82.6
Oman,73,75.3,73.9
Pakistan,64.6,66.7,65.6
Panama,76.6,82.1,79.3
Papua New Guinea,63.4,67.4,65.3
Paraguay,73.1,78.8,75.8
Peru,78.5,81.3,79.9
Philippines,67.4,73.6,70.4
Poland,74.5,81.9,78.3
Portugal,78.6,84.4,81.6
Qatar,78,76.6,77.2
Republic of Korea,80.3,86.1,83.3
Republic of Moldova,69.3,77.1,73.3
North Macedonia,72.8,76.9,74.8
Romania,72,79.3,75.6
Russian Federation,68.2,78,73.2
Rwanda,66.9,71.2,69.1
Saint Lucia,71.3,77.7,74.3
Saint Vincent and the Grenadines,71.3,75.3,73.2
Samoa,69.2,71.8,70.5
Sao Tome and Principe,68.8,72,70.4
Saudi Arabia,73.1,76.1,74.3
Senegal,66.8,70.1,68.6
Serbia,73.5,78.3,75.9
Seychelles,70,77.1,73.3
Sierra Leone,59.6,61.9,60.8
Singapore,81,85.5,83.2
Slovakia,74.8,81.4,78.2
Slovenia,78.6,84.1,81.3
Solomon Islands,62.9,67.9,65.2
Somalia,54,59.2,56.5
South Africa,62.2,68.3,65.3
South Sudan,60.8,64.8,62.8
Spain,80.7,85.7,83.2
Sri Lanka,73.8,79.8,76.9
Sudan,67.6,70.8,69.1
Suriname,68.5,74.6,71.5
Sweden,80.8,84,82.4
Switzerland,81.8,85.1,83.4
Syrian Arab Republic,71.2,74.3,72.7
Tajikistan,67.6,71.5,69.5
Thailand,74.4,81,77.7
Timor-Leste,67.9,71.4,69.6
Togo,61.5,67.2,64.3
Tonga,69.8,75.6,72.6
Trinidad and Tobago,72.5,79.9,76.1
Tunisia,74.9,79.2,77
Turkey,76.4,80.7,78.6
Turkmenistan,66.5,73,69.7
Uganda,63.2,70.1,66.7
Ukraine,68,77.8,73
United Arab Emirates,75.1,78.4,76.1
United Kingdom of Great Britain and Northern Ireland,79.8,83,81.4
United Republic of Tanzania,65.4,69.3,67.3
United States of America,76.3,80.7,78.5
Uruguay,73.5,80.6,77.1
Uzbekistan,70.8,75.2,73
Vanuatu,62.7,68.3,65.3
Venezuela (Bolivarian Republic of),69.9,78.2,73.9
Viet Nam,69.6,78.1,73.7
Yemen,64.4,68.9,66.6
Zambia,59.5,65.4,62.5
Zimbabwe,57.5,63.6,60.7
